quantityOrdered,priceEach,orderDate,requiredDate,shippedDate,orderStatus,orderComments,productName,category,productScale,productVendor,quantityInStock,buyPrice,MSRP,customerName,phone_customer,city_customer,country_customer,creditLimit,employeeEmail,jobTitle,city_office,phone_office,country_office,territory,employeeName,contactName,address_office,address_customer
30,136.0,2018-01-06,2018-01-13,2018-01-10,Shipped,,1917 Grand Touring Sedan,Vintage Cars,1:18,Welly Diecast Productions,2724,86.7,170.0,Online Diecast Creations Co.,+1 603-555-8647,Nashua,USA,114200,spatterson@classicmodelcars.com,Sales Rep,Boston,+1 215-837-0825,USA,,Steve Patterson,Dorothy Young,1550 Court Place Suite 102 02107,2304 Long Airport Avenue  62005
50,55.09,2018-01-06,2018-01-13,2018-01-10,Shipped,,1911 Ford Town Car,Vintage Cars,1:18,Motor City Art Classics,540,33.3,60.54,Online Diecast Creations Co.,+1 603-555-8647,Nashua,USA,114200,spatterson@classicmodelcars.com,Sales Rep,Boston,+1 215-837-0825,USA,,Steve Patterson,Dorothy Young,1550 Court Place Suite 102 02107,2304 Long Airport Avenue  62005
22,75.46,2018-01-06,2018-01-13,2018-01-10,Shipped,,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,1:18,Exoto Designs,6553,43.26,92.03,Online Diecast Creations Co.,+1 603-555-8647,Nashua,USA,114200,spatterson@classicmodelcars.com,Sales Rep,Boston,+1 215-837-0825,USA,,Steve Patterson,Dorothy Young,1550 Court Place Suite 102 02107,2304 Long Airport Avenue  62005
49,35.29,2018-01-06,2018-01-13,2018-01-10,Shipped,,1936 Mercedes Benz 500k Roadster,Vintage Cars,1:24,Red Start Diecast,2081,21.75,41.03,Online Diecast Creations Co.,+1 603-555-8647,Nashua,USA,114200,spatterson@classicmodelcars.com,Sales Rep,Boston,+1 215-837-0825,USA,,Steve Patterson,Dorothy Young,1550 Court Place Suite 102 02107,2304 Long Airport Avenue  62005
25,108.06,2018-01-09,2018-01-18,2018-01-11,Shipped,Check on availability.,1932 Model A Ford J-Coupe,Vintage Cars,1:18,Autoart Studio Design,9354,58.48,127.13,"Blauer See Auto, Co.",+49 69 66902555,Frankfurt,Germany,59700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Roland Keitel,25 Old Broad Street Level 7 EC2N 1HN,Lyonerstr. 34  60528
26,167.06,2018-01-09,2018-01-18,2018-01-11,Shipped,Check on availability.,1928 Mercedes-Benz SSK,Vintage Cars,1:18,Gearbox Collectibles,548,72.56,168.75,"Blauer See Auto, Co.",+49 69 66902555,Frankfurt,Germany,59700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Roland Keitel,25 Old Broad Street Level 7 EC2N 1HN,Lyonerstr. 34  60528
45,32.53,2018-01-09,2018-01-18,2018-01-11,Shipped,Check on availability.,1939 Chevrolet Deluxe Coupe,Vintage Cars,1:24,Motor City Art Classics,7332,22.57,33.19,"Blauer See Auto, Co.",+49 69 66902555,Frankfurt,Germany,59700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Roland Keitel,25 Old Broad Street Level 7 EC2N 1HN,Lyonerstr. 34  60528
46,44.35,2018-01-09,2018-01-18,2018-01-11,Shipped,Check on availability.,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,1:24,Classic Metal Creations,2847,20.61,44.8,"Blauer See Auto, Co.",+49 69 66902555,Frankfurt,Germany,59700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Roland Keitel,25 Old Broad Street Level 7 EC2N 1HN,Lyonerstr. 34  60528
39,95.55,2018-01-10,2018-01-18,2018-01-14,Shipped,,1937 Lincoln Berline,Vintage Cars,1:18,Motor City Art Classics,8693,60.62,102.74,Vitachrome Inc.,+1 212-555-1500,NYC,USA,76400,ftseng@classicmodelcars.com,Sales Rep,NYC,+1 212-555-3000,USA,,Foon Yue Tseng,Michael Frick,523 East 53rd Street apt. 5A 10022,2678 Kingston Rd. Suite 101 10022
41,43.13,2018-01-10,2018-01-18,2018-01-14,Shipped,,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,1:18,Studio M Art Models,8635,24.26,53.91,Vitachrome Inc.,+1 212-555-1500,NYC,USA,76400,ftseng@classicmodelcars.com,Sales Rep,NYC,+1 212-555-3000,USA,,Foon Yue Tseng,Michael Frick,523 East 53rd Street apt. 5A 10022,2678 Kingston Rd. Suite 101 10022
